eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,118,33,-130906.305221,1.631251e-08,5,5,5.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,119,34,-130906.277807,1.085209e-08,5,5,5.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,120,35,-130906.250422,5.414524e-09,5,5,5.5,e,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,121,36,-130906.223065,1.929622e-09,5,5,5.5,e,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,122,37,-130906.195737,3.850930e-10,5,5,5.5,e,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,68,27,-101863.520352,2.129689e-02,4,4,3.5,f,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,69,28,-101863.503686,2.419413e-02,4,4,3.5,f,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,70,29,-101863.486950,1.803821e-02,4,4,3.5,f,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,71,30,-101863.470145,9.563874e-03,4,4,3.5,f,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,72,31,-101863.453272,2.971290e-03,4,4,3.5,f,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,86,26,-101859.143180,4.721257e-01,4,4,4.5,f,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,87,27,-101859.117241,2.627351e-01,4,4,4.5,f,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,88,28,-101859.091252,1.315876e-01,4,4,4.5,f,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,89,29,-101859.065213,5.648841e-02,4,4,4.5,f,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,90,30,-101859.039124,1.886052e-02,4,4,4.5,f,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,91,31,-101859.012986,3.778273e-03,4,4,4.5,f,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,68,16,-101855.237728,4.242338e-01,4,4,3.5,f,-3.5,-1,2,2,1.5,f,-1.5,-1
sigma+,sigma-,69,17,-101855.189426,1.815077e-01,4,4,3.5,f,-2.5,-1,2,2,1.5,f,-0.5,-1
sigma+,sigma-,70,18,-101855.141175,6.040146e-02,4,4,3.5,f,-1.5,-1,2,2,1.5,f,+0.5,-1
sigma+,sigma-,71,19,-101855.092973,1.206030e-02,4,4,3.5,f,-0.5,-1,2,2,1.5,f,+1.5,-1
sigma+,sigma-,87,16,-101850.834617,1.216110e-10,4,4,4.5,f,-3.5,-1,2,2,1.5,f,-1.5,-1
sigma+,sigma-,88,17,-101850.776992,6.526845e-11,4,4,4.5,f,-2.5,-1,2,2,1.5,f,-0.5,-1
sigma+,sigma-,89,18,-101850.719437,1.885615e-11,4,4,4.5,f,-1.5,-1,2,2,1.5,f,+0.5,-1
sigma+,sigma-,90,19,-101850.661951,2.587439e-12,4,4,4.5,f,-0.5,-1,2,2,1.5,f,+1.5,-1
sigma+,sigma-,60,21,-101826.482630,3.739850e-03,4,4,3.5,e,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,61,22,-101826.466868,4.248064e-03,4,4,3.5,e,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,62,23,-101826.451030,3.166787e-03,4,4,3.5,e,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,63,24,-101826.435117,1.678824e-03,4,4,3.5,e,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,64,25,-101826.419130,5.215113e-04,4,4,3.5,e,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,76,20,-101822.107425,8.337948e-02,4,4,4.5,e,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,77,21,-101822.081746,4.640603e-02,4,4,4.5,e,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,78,22,-101822.056013,2.324478e-02,4,4,4.5,e,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,79,23,-101822.030227,9.979828e-03,4,4,4.5,e,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,80,24,-101822.004388,3.332497e-03,4,4,4.5,e,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,81,25,-101821.978497,6.676689e-04,4,4,4.5,e,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,60,12,-101818.201715,7.492921e-02,4,4,3.5,e,-3.5,+1,2,2,1.5,e,-1.5,+1
sigma+,sigma-,61,13,-101818.153157,3.205712e-02,4,4,3.5,e,-2.5,+1,2,2,1.5,e,-0.5,+1
